.00079350,  100,.01522684,   10
    0.454545E+00   -0.909091E-01   -0.818182E+00    0.189808E+02
    0.636364E+00   -0.909091E-01   -0.818182E+00    0.192293E+02
    0.818182E+00   -0.909091E-01   -0.818182E+00    0.195798E+02
    0.100000E+01   -0.909091E-01   -0.818182E+00    0.200000E+02

   -0.100000E+01    0.909091E-01   -0.818182E+00    0.200000E+02
   -0.818182E+00    0.909091E-01   -0.818182E+00    0.198169E+02
   -0.636364E+00    0.909091E-01   -0.818182E+00    0.196385E+02
   -0.454545E+00    0.909091E-01   -0.818182E+00    0.194729E+02
   -0.272727E+00    0.909091E-01   -0.818182E+00    0.193342E+02
   -0.909091E-01    0.909091E-01   -0.818182E+00    0.192414E+02
    0.909091E-01    0.909091E-01   -0.818182E+00    0.192078E+02
    0.272727E+00    0.909091E-01   -0.818182E+00    0.192405E+02
    0.454545E+00    0.909091E-01   -0.818182E+00    0.193421E+02
    0.636364E+00    0.909091E-01   -0.818182E+00    0.195110E+02
    0.818182E+00    0.909091E-01   -0.818182E+00    0.197377E+02
    0.100000E+01    0.909091E-01   -0.818182E+00    0.200000E+02

   -0.100000E+01    0.272727E+00   -0.818182E+00    0.200000E+02
   -0.818182E+00    0.272727E+00   -0.818182E+00    0.198714E+02
   -0.636364E+00    0.272727E+00   -0.818182E+00    0.197482E+02
   -0.454545E+00    0.272727E+00   -0.818182E+00    0.196374E+02
   -0.272727E+00    0.272727E+00   -0.818182E+00    0.195482E+02
   -0.909091E-01    0.272727E+00   -0.818182E+00    0.194907E+02
    0.909091E-01    0.272727E+00   -0.818182E+00    0.194729E+02
    0.272727E+00    0.272727E+00   -0.818182E+00    0.194993E+02
    0.454545E+00    0.272727E+00   -0.818182E+00    0.195707E+02
    0.636364E+00    0.272727E+00   -0.818182E+00    0.196844E+02
    0.818182E+00    0.272727E+00   -0.818182E+00    0.198323E+02
    0.100000E+01    0.272727E+00   -0.818182E+00    0.200000E+02

   -0.100000E+01    0.454545E+00   -0.818182E+00    0.200000E+02
   -0.818182E+00    0.454545E+00   -0.818182E+00    0.199129E+02
   -0.636364E+00    0.454545E+00   -0.818182E+00    0.198305E+02
   -0.454545E+00    0.454545E+00   -0.818182E+00    0.197579E+02
   -0.272727E+00    0.454545E+00   -0.818182E+00    0.197011E+02
   -0.909091E-01    0.454545E+00   -0.818182E+00    0.196658E+02
    0.909091E-01    0.454545E+00   -0.818182E+00    0.196566E+02
    0.272727E+00    0.454545E+00   -0.818182E+00    0.196761E+02
    0.454545E+00    0.454545E+00   -0.818182E+00    0.197243E+02
    0.636364E+00    0.454545E+00   -0.818182E+00    0.197988E+02
    0.818182E+00    0.454545E+00   -0.818182E+00    0.198937E+02
    0.100000E+01    0.454545E+00   -0.818182E+00    0.200000E+02

   -0.100000E+01    0.636364E+00   -0.818182E+00    0.200000E+02
   -0.818182E+00    0.636364E+00   -0.818182E+00    0.199461E+02
   -0.636364E+00    0.636364E+00   -0.818182E+00    0.198954E+02
   -0.454545E+00    0.636364E+00   -0.818182E+00    0.198514E+02
   -0.272727E+00    0.636364E+00   -0.818182E+00    0.198176E+02
   -0.909091E-01    0.636364E+00   -0.818182E+00    0.197971E+02
    0.909091E-01    0.636364E+00   -0.818182E+00    0.197926E+02
    0.272727E+00    0.636364E+00   -0.818182E+00    0.198054E+02
    0.454545E+00    0.636364E+00   -0.818182E+00    0.198351E+02
    0.636364E+00    0.636364E+00   -0.818182E+00    0.198802E+02
    0.818182E+00    0.636364E+00   -0.818182E+00    0.199369E+02
    0.100000E+01    0.636364E+00   -0.818182E+00    0.200000E+02

   -0.100000E+01    0.818182E+00   -0.818182E+00    0.200000E+02
   -0.818182E+00    0.818182E+00   -0.818182E+00    0.199742E+02
   -0.636364E+00    0.818182E+00   -0.818182E+00    0.199501E+02
   -0.454545E+00    0.818182E+00   -0.818182E+00    0.199293E+02
   -0.272727E+00    0.818182E+00   -0.818182E+00    0.199135E+02
   -0.909091E-01    0.818182E+00   -0.818182E+00    0.199041E+02
    0.909091E-01    0.818182E+00   -0.818182E+00    0.199022E+02
    0.272727E+00    0.818182E+00   -0.818182E+00    0.199085E+02
    0.454545E+00    0.818182E+00   -0.818182E+00    0.199227E+02
    0.636364E+00    0.818182E+00   -0.818182E+00    0.199440E+02
    0.818182E+00    0.818182E+00   -0.818182E+00    0.199705E+02
    0.100000E+01    0.818182E+00   -0.818182E+00    0.200000E+02

   -0.100000E+01    0.100000E+01   -0.818182E+00    0.200000E+02
   -0.818182E+00    0.100000E+01   -0.818182E+00    0.200000E+02
   -0.636364E+00    0.100000E+01   -0.818182E+00    0.200000E+02
   -0.454545E+00    0.100000E+01   -0.818182E+00    0.200000E+02
   -0.272727E+00    0.100000E+01   -0.818182E+00    0.200000E+02
   -0.909091E-01    0.100000E+01   -0.818182E+00    0.200000E+02
    0.909091E-01    0.100000E+01   -0.818182E+00    0.200000E+02
    0.272727E+00    0.100000E+01   -0.818182E+00    0.200000E+02
    0.454545E+00    0.100000E+01   -0.818182E+00    0.200000E+02
    0.636364E+00    0.100000E+01   -0.818182E+00    0.200000E+02
    0.818182E+00    0.100000E+01   -0.818182E+00    0.200000E+02
    0.100000E+01    0.100000E+01   -0.818182E+00    0.200000E+02


   -0.100000E+01   -0.100000E+01   -0.636364E+00    0.200000E+02
   -0.818182E+00   -0.100000E+01   -0.636364E+00    0.000000E+00
   -0.636364E+00   -0.100000E+01   -0.636364E+00    0.000000E+00
   -0.454545E+00   -0.100000E+01   -0.636364E+00    0.000000E+00
   -0.272727E+00   -0.100000E+01   -0.636364E+00    0.000000E+00
   -0.909091E-01   -0.100000E+01   -0.636364E+00    0.000000E+00
    0.909091E-01   -0.100000E+01   -0.636364E+00    0.000000E+00
    0.272727E+00   -0.100000E+01   -0.636364E+00    0.000000E+00
    0.454545E+00   -0.100000E+01   -0.636364E+00    0.000000E+00
    0.636364E+00   -0.100000E+01   -0.636364E+00    0.000000E+00
    0.818182E+00   -0.100000E+01   -0.636364E+00    0.000000E+00
    0.100000E+01   -0.100000E+01   -0.636364E+00    0.000000E+00

   -0.100000E+01   -0.818182E+00   -0.636364E+00    0.200000E+02
   -0.818182E+00   -0.818182E+00   -0.636364E+00    0.145785E+02
   -0.636364E+00   -0.818182E+00   -0.636364E+00    0.125938E+02
   -0.454545E+00   -0.818182E+00   -0.636364E+00    0.111171E+02
   -0.272727E+00   -0.818182E+00   -0.636364E+00    0.843577E+01
   -0.909091E-01   -0.818182E+00   -0.636364E+00    0.745695E+01
    0.909091E-01   -0.818182E+00   -0.636364E+00    0.712985E+01
    0.272727E+00   -0.818182E+00   -0.636364E+00    0.715227E+01
    0.454545E+00   -0.818182E+00   -0.636364E+00    0.752748E+01
    0.636364E+00   -0.818182E+00   -0.636364E+00    0.857702E+01
    0.818182E+00   -0.818182E+00   -0.636364E+00    0.114327E+02
    0.100000E+01   -0.818182E+00   -0.636364E+00    0.200000E+02

   -0.100000E+01   -0.636364E+00   -0.636364E+00    0.200000E+02
   -0.818182E+00   -0.636364E+00   -0.636364E+00    0.194199E+02
   -0.636364E+00   -0.636364E+00   -0.636364E+00    0.181628E+02
   -0.454545E+00   -0.636364E+00   -0.636364E+00    0.165501E+02
   -0.272727E+00   -0.636364E+00   -0.636364E+00    0.135443E+02
   -0.909091E-01   -0.636364E+00   -0.636364E+00    0.123299E+02
    0.909091E-01   -0.636364E+00   -0.636364E+00    0.118974E+02
    0.272727E+00   -0.636364E+00   -0.636364E+00    0.119328E+02
    0.454545E+00   -0.636364E+00   -0.636364E+00    0.124173E+02
    0.636364E+00   -0.636364E+00   -0.636364E+00    0.135658E+02
    0.818182E+00   -0.636364E+00   -0.636364E+00    0.158836E+02
    0.100000E+01   -0.636364E+00   -0.636364E+00    0.200000E+02

   -0.100000E+01   -0.454545E+00   -0.636364E+00    0.200000E+02
   -0.818182E+00   -0.454545E+00   -0.636364E+00    0.192714E+02
   -0.636364E+00   -0.454545E+00   -0.636364E+00    0.183562E+02
   -0.454545E+00   -0.454545E+00   -0.636364E+00    0.172644E+02
   -0.272727E+00   -0.454545E+00   -0.636364E+00    0.159511E+02
   -0.909091E-01   -0.454545E+00   -0.636364E+00    0.151602E+02
    0.909091E-01   -0.454545E+00   -0.636364E+00    0.148349E+02
